run_id,date,event,branch,result,total_seconds,main_job_seconds,notes
27402902917,2026-06-12,push,master,success,17,0,pipeline-neutral skip
27402097076,2026-06-12,pull_request,dependabot,failure,62,46,tests failed fast
27401869530,2026-06-12,pull_request,dependabot,success,30,0,fast pass (cached)
27401869513,2026-06-12,push,master,failure,119,110,merge conflict / build fail
27183547380,2026-06-09,push,master,success,258,250,docs deployed full pipeline
27144957791,2026-06-08,push,master,success,230,220,docs deployed
27141739454,2026-06-08,push,master,success,8,0,skip
27128720522,2026-06-08,push,master,success,261,238,refactor deployed (4m11s)
27115428879,2026-06-08,pull_request,dependabot,failure,56,50,tests failed fast
27115385375,2026-06-08,pull_request,dependabot,success,266,260,deps deployed (4m20s)
27099294629,2026-06-07,push,master,success,243,235,nav fix deployed
27098424250,2026-06-07,push,master,success,17,0,skip
27097876221,2026-06-07,push,master,success,258,250,docs deployed
27092429024,2026-06-07,push,master,success,18,0,skip
27091963244,2026-06-07,push,master,success,248,240,docs deployed
27091134141,2026-06-07,push,master,success,18,0,skip
27090452161,2026-06-07,push,master,success,15,0,skip
27089830273,2026-06-07,push,master,success,14,0,skip
27072833126,2026-06-06,push,master,success,18,0,skip
